caption,response
"タイでの実習の後半2週間を共にしたイップン達

本当にお世話になりました！

#ramathibodi #ramathibodihospital #rama #mahidol #mahidoluniversity #ญี่ปุ่น",No
"Prof. Kidakorn is the most famous rhinoplasty surgeon in Thailand.

His technique of building up a nose is very amazing, so I was excited.
Observing that operation made me more interested in plastic surgery.

khob khun ka!!

キダコーン先生の鼻整形は、クリニックで80万円くらいで受けられるらしい…🫢🫢

#ramathibodihospital #plasticsurgery #mahidol #mahidoluniversity","No. The message is discussing a specific doctor's rhinoplasty techniques and experiences, but there is no mention of Ramathibodi Hospital or any related organizations."
"วันรามาธิบดี 💙
ร่วมบริจาคหรือซื้อเสื้อสมทบทุนกันได้ที่มูลนิธิรามานะครับ
#คำว่าให้ไม่สิ้นสุด #ramathibodihospital",Yes
"Medical Residents from the Department of Pediatrics, Faculty of Medicine, Ramathibodi Hospital, Mahidol University, Visit the Asia-Pacific Development Center on Disability

#APCD #apcdfoudation #disability #ศูนย์พัฒนาและฝึกอบรมคนพิการแห่งเอเชียและแปซิฟิก",Yes
"#LittleVolunteer
#RamathibodiHospital

We are at your service Mimmy P. Sitthichai💕
6 March 2024",Yes
Fun run 🏃🏻‍♂️#ramathibodinurserun2018 #marathon,No
First run 🏃🏻‍♀️ #ramathibodinurserun2018,"Yes. The message mentions ""ramathibodinurserun2018,"" which suggests it's related to an event at Ramathibodi Hospital."
"before and after #ramathibodinurserun2018 
7SE สายสุขภาพนะคะ 😂😂😂😂😂",No
"เราต่างมีฝัน
ร่วมทางฝันไปกับเรา
😝😝😝😝😝
#ramathibodinurserun2018",Yes
"วิ่งเข้าเส้นชัยสวยๆๆๆ
ระหว่างทางอ่ะ ....แล้วแต่
#ramathibodinurserun2018","Yes. The message mentions ""ramathibodinurserun2018,"" which is an event related to Ramathibodi."
"before and after #ramathibodinurserun2018 
7SE สายสุขภาพนะคะ 😂😂😂😂😂",No
Fun run 🏃🏻‍♂️#ramathibodinurserun2018 #marathon,"Yes. The message mentions ""ramathibodinurserun2018"" which is likely referring to an event organized by Ramathibodi."
First run 🏃🏻‍♀️ #ramathibodinurserun2018,Yes
10.5 kg  ครั้งแรก :)) 1.23 hr มีครั้งแรกและจะมีครั้งต่อๆไป 😍 #ramathibodi52 #runforCNMI,"No. The message is not talking about Ramathibodi. It appears to be discussing personal fitness achievements and goals, using hashtags related to running events and organizations."
Count down to CNMI วิ่งนี้เพื่อเธอ!!!! เราวิ่งให้เธอแล้วปีหน้าอย่าเอาเราไปเลยนะ อิอิ #ramathibodi52  #runforCNMI,Yes
Count down to CNMI วิ่งนี้เพื่อเธอ!!!! เราวิ่งให้เธอแล้วปีหน้าอย่าเอาเราไปเลยนะ อิอิ #ramathibodi52  #runforCNMI,Yes
10.5 kg  ครั้งแรก :)) 1.23 hr มีครั้งแรกและจะมีครั้งต่อๆไป 😍 #ramathibodi52 #runforCNMI,"No. The message is discussing personal experiences related to running, specifically mentioning a time (1.23 hours) and weight loss (10.5 kg). The hashtags ""#ramathibodi52"" and ""#runforCNMI"" suggest an association with Ramathibodi Hospital and Chakri Naruebodindra Medical Institute, but the content itself does not indicate a direct connection to the faculty of medicine."
"4 masketeers 🏹🥊🥇🎷 #room403

#ramathibodifamily #ramathibodi46
#doctorbeamnk",No
"โลกหมุนไปสามสี่รอบ...สุดท้ายก็กลับมาพบกันอยู่ดี...10 ปีของเรา 😎🤩🥳 #ฉลองแซยิดป้ากี้ฟ

#เปิดโรงพยาบาลได้ละมีเกือบครบทุกสาขา
#ramathibodi46 #friendship
#doctorbeamnk #doctorlife",No
"Congratulations😙😙👏🏻👏🏻 official pediatrician 🤩🥳 👼🏻👶🏻👧🏻🧒🏻👦🏻 #หมอเด็กใจดี 

@nineonut ยินดีกับนัทด้วยน้าา ปรบมือ เย้ๆ อยากพาลูกไปหาแต่ลืมไปไม่มีลูก555 ไว้เจอกันกินข้าวกันแทนละกัน💋💋 ขอให้มีแต่ความปังๆยิ่งๆขึ้นไป เป็นหมอเด็กที่รักของเด็กน้อยและผู้ปกครองนะ 👨‍👩‍👦👨‍👩‍👧‍👧

#ramathibodi46 #friendsneverend
#doctorbeamnk",No
"Nice to be with you guys again…and…again for the infinite and beyond 😝🥳🎉🎈 #รักเราไม่เก่าเลย

#doctorbeamnk #doctorlife
#ramathibodi46 #thirddecades
#เด็กวัยเลขสามในปีนี้",No
"3️⃣0️⃣ vs 3️⃣2️⃣ HBD to Gifee @minutsuki and Bugkee @bugkyo ▶️◀️ คิวหน้า @bentanadon ขึ้นทษวรรษที่ 3 และ @t_oum_b ขึ้นเลข 3

#ramathibodi46 #From18To30 
#doctorbeamnk","No. The message is not talking about Ramathibodi. It appears to be a birthday greeting for individuals named Gifee, Minutsuki, Bugkee, Bentanadon, and T_oum_b. The hashtags ""#ramathibodi46"" and ""#From18To30"" do not indicate any direct association with Ramathibodi Hospital or its related organizations."
"When you are 30s, your life will throw someone out of your life but only your friends can always be an exceptional…until we meet again doc!!! 😇🤓 #staystrongmyspecialists

#doctorbeamnk #ramathibodi46",No
"ขอบคุณสำหรับทุกคำอวยพร...ทั้งจากครอบครัว ครูบาอาจารย์ ญาติมิตร สหายทั้งหลายครับ 2️⃣9️⃣เป็นอีกปีที่มีความสุขที่ได้พบแต่คนที่ดี...และได้ทำสิ่งดีๆให้กัน สุดท้ายขอให้ปีต่อๆไปได้รักทุกคนมากขึ้นไปอีก 

ปล. ขอบคุณเพื่อนๆทีมนี้ที่คอยอยู่เคียงข้างเสมอตั้งแต่เป็นนักเรียนแพทย์จนเป็นหมอเต็มตัว และคงอยู่ข้างๆกันไปอีกนานเท่านาน #โตไปด้วยกัน
@t_oum_b @minutsuki @bugkyo @nineonut @tob_chaya @pu_pjc 

#doctorbeamnk #doctorlife
#ramathibodi46",No
"When you are 30s, your life will throw someone out of your life but only your friends can always be an exceptional…until we meet again doc!!! 😇🤓 #staystrongmyspecialists

#doctorbeamnk #ramathibodi46",No
"3️⃣0️⃣ vs 3️⃣2️⃣ HBD to Gifee @minutsuki and Bugkee @bugkyo ▶️◀️ คิวหน้า @bentanadon ขึ้นทษวรรษที่ 3 และ @t_oum_b ขึ้นเลข 3

#ramathibodi46 #From18To30 
#doctorbeamnk",No
"Until we meet again #bugkeefarewell 🦠🦠

#ส่งบั้คกลับไปเป็นหมอidที่เมืองใต้
#ramathibodi46 #friendship","No. The message does not mention any aspect of Ramathibodi Hospital, Mahidol University. It appears to be a personal farewell message unrelated to the faculty of medicine."
"Congratulations😙😙👏🏻👏🏻 official pediatrician 🤩🥳 👼🏻👶🏻👧🏻🧒🏻👦🏻 #หมอเด็กใจดี 

@nineonut ยินดีกับนัทด้วยน้าา ปรบมือ เย้ๆ อยากพาลูกไปหาแต่ลืมไปไม่มีลูก555 ไว้เจอกันกินข้าวกันแทนละกัน💋💋 ขอให้มีแต่ความปังๆยิ่งๆขึ้นไป เป็นหมอเด็กที่รักของเด็กน้อยและผู้ปกครองนะ 👨‍👩‍👦👨‍👩‍👧‍👧

#ramathibodi46 #friendsneverend
#doctorbeamnk",No
"Nice to be with you guys again…and…again for the infinite and beyond 😝🥳🎉🎈 #รักเราไม่เก่าเลย

#doctorbeamnk #doctorlife
#ramathibodi46 #thirddecades
#เด็กวัยเลขสามในปีนี้",No
"ขอบคุณสำหรับทุกคำอวยพร...ทั้งจากครอบครัว ครูบาอาจารย์ ญาติมิตร สหายทั้งหลายครับ 2️⃣9️⃣เป็นอีกปีที่มีความสุขที่ได้พบแต่คนที่ดี...และได้ทำสิ่งดีๆให้กัน สุดท้ายขอให้ปีต่อๆไปได้รักทุกคนมากขึ้นไปอีก 

ปล. ขอบคุณเพื่อนๆทีมนี้ที่คอยอยู่เคียงข้างเสมอตั้งแต่เป็นนักเรียนแพทย์จนเป็นหมอเต็มตัว และคงอยู่ข้างๆกันไปอีกนานเท่านาน #โตไปด้วยกัน
@t_oum_b @minutsuki @bugkyo @nineonut @tob_chaya @pu_pjc 

#doctorbeamnk #doctorlife
#ramathibodi46",Yes
"โลกหมุนไปสามสี่รอบ...สุดท้ายก็กลับมาพบกันอยู่ดี...10 ปีของเรา 😎🤩🥳 #ฉลองแซยิดป้ากี้ฟ

#เปิดโรงพยาบาลได้ละมีเกือบครบทุกสาขา
#ramathibodi46 #friendship
#doctorbeamnk #doctorlife",No
"‼️ตำรากุมารเวชศาสตร์ในตำนานกลับมาแล้ว (จำนวนจำกัด)‼️
🍼หนังสือ “ กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ เล่มที่ 1-2”
🍼ตำราคุณภาพจากภาควิชากุมารเวชศาสตร์ คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล
🔴
✅เนื้อหาครบครันที่สุด เข้าใจง่าย เหมาะกับนศพ.
✅อัดแน่นกว่า 120 บท รวม 954 หน้า
✅ตีพิมพ์ต.ค. 2552 และ มี.ค. 2553
🔴
ราคาปก: 1,000 บาท/ชุด 2 เล่ม
หรือสั่งซื้อผ่าน shopee: 
https://shp.ee/jed57zs
🔴
เหมาะสำหรับ: 
☑️นักศึกษาแพทย์และพยาบาลทุกท่าน
☑️Extern, Intern, Resident, GP, พยาบาล, แพทย์เฉพาะทางทุกท่าน
☑️กุมารแพทย์และผู้ที่สนใจโรคเด็กทุกคน
🔴
ร้าน Thai Medical Bookshop ร้านหนังสือตำราและอุปกรณ์ทางการแพทย์ สำหรับนิสิต-นักศึกษาแพทย์และพยาบาลผู้รักการเรียนรู้
🔴
IG: thaimedicalbookshop
FB: Thai Medical Bookshop
Shopee: Thai Medical Bookshop
🟥
#ตำราแพทย์ #หนังสือแพทย์ #นิสิตแพทย์ #นักศึกษาแพทย์ #นักศึกษาพยาบาล #แพทย์ฝึกหัด #แพทย์ใช้ทุน #แพทย์ประจำบ้าน #หมอ #พยาบาล #แพทย์ #extern #ร้านหนังสือ #ร้านหนังสือแพทย์ #หนังสือ #กุมารเวชศาสตร์ #หนังสือกุมารเวชศาสตร์ #pediatrics #กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ #ramathibodihandbookofpediatric",Yes
"🍼หนังสือ “Ramathibodi Handbook of PICU & NICU”

✅ตำราคุณภาพจากภาควิชากุมารเวชศาสตร์ คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล
✅มีเนื้อหาครบทั้ง PICU และ NICU
✅ขนาดพกพา รวม 61 บท กว่า 244 หน้า
✅ตีพิมพ์ก.ย. ปี 2561
——————————————
👶🏻[ชุด 4 เล่ม] ตำรากุมารเวชศาสตร์รพ.รามาธิบดี
1️⃣ Ramathibodi Handbook of PICU & NICU: 349.-
2️⃣ Ramathibodi Handbook of Pediatric Diagnostic Tests: 349.-
3️⃣ Ramathibodi Handbook of Pediatric Emergency: 499.-
4️⃣ Ramathibodi Handbook of Pediatric Endocrinology Case Approach: 500.-
🔴
สั่งซื้อผ่าน shopee: 
https://shp.ee/3j8phua
🔴
เหมาะสำหรับ: 
☑️นักศึกษาแพทย์และพยาบาลทุกท่าน
☑️Extern, Intern, Resident, GP, พยาบาล, แพทย์เฉพาะทางทุกท่าน
☑️กุมารแพทย์และผู้ที่สนใจโรคเด็กทุกคน
🔴
IG: thaimedicalbookshop
FB: Thai Medical Bookshop
Shopee: Thai Medical Bookshop
🔴
ร้าน Thai Medical Bookshop ร้านหนังสือตำราและอุปกรณ์ทางการแพทย์ สำหรับนิสิต-นักศึกษาแพทย์และพยาบาลผู้รักการเรียนรู้
🔴
ร้านเราให้ความเคารพคณาจารย์ทุกท่านที่ประสิทธิ์ประสาทวิชาความรู้และตั้งใจประพันธ์ตำราแพทย์ทุกเล่ม ทางร้านขอสนับสนุนหนังสือลิขสิทธิ์แท้เพื่อให้ประเทศไทยยังคงมีตำราดีๆผลิตออกมาสืบต่อไปค่ะ 🙏🏼
🟥
#ตำราแพทย์ #หนังสือแพทย์ #นิสิตแพทย์ #นักศึกษาแพทย์ #นักศึกษาพยาบาล #แพทย์ฝึกหัด #แพทย์ใช้ทุน #แพทย์ประจำบ้าน #หมอ #พยาบาล #แพทย์ #extern #แพทยศาสตร์ #คณะแพทยศาสตร์ #ร้านหนังสือ #ร้านหนังสือแพทย์ #หนังสือ #กุมารเวชศาสตร์ #หนังสือกุมารเวชศาสตร์ #pediatrics #กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ #ramathibodihandbook #ramathibodihandbookofpediatric #ramathibodhihandbookofpediatrics #คู่มือการใช้ยาในเด็ก #ยาในเด็ก #รามาธิบดี #โรงพยาบาลรามาธิบดี #PICU #NICU",Yes
"‼️ตำรากุมารเวชศาสตร์ในตำนานกลับมาแล้ว (จำนวนจำกัด)‼️
🍼หนังสือ “ กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ เล่มที่ 1-2”
🍼ตำราคุณภาพจากภาควิชากุมารเวชศาสตร์ คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล
🔴
✅เนื้อหาครบครันที่สุด เข้าใจง่าย เหมาะกับนศพ.
✅อัดแน่นกว่า 120 บท รวม 954 หน้า
✅ตีพิมพ์ต.ค. 2552 และ มี.ค. 2553
🔴
ราคาปก: 1,000 บาท/ชุด 2 เล่ม
หรือสั่งซื้อผ่าน shopee: 
https://shp.ee/jed57zs
🔴
เหมาะสำหรับ: 
☑️นักศึกษาแพทย์และพยาบาลทุกท่าน
☑️Extern, Intern, Resident, GP, พยาบาล, แพทย์เฉพาะทางทุกท่าน
☑️กุมารแพทย์และผู้ที่สนใจโรคเด็กทุกคน
🔴
ร้าน Thai Medical Bookshop ร้านหนังสือตำราและอุปกรณ์ทางการแพทย์ สำหรับนิสิต-นักศึกษาแพทย์และพยาบาลผู้รักการเรียนรู้
🔴
IG: thaimedicalbookshop
FB: Thai Medical Bookshop
Shopee: Thai Medical Bookshop
🟥
#ตำราแพทย์ #หนังสือแพทย์ #นิสิตแพทย์ #นักศึกษาแพทย์ #นักศึกษาพยาบาล #แพทย์ฝึกหัด #แพทย์ใช้ทุน #แพทย์ประจำบ้าน #หมอ #พยาบาล #แพทย์ #extern #ร้านหนังสือ #ร้านหนังสือแพทย์ #หนังสือ #กุมารเวชศาสตร์ #หนังสือกุมารเวชศาสตร์ #pediatrics #กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ #ramathibodihandbook #ramathibodihandbookofpediatric #ramathibodhihandbookofpediatrics",Yes
"🍼หนังสือ “Ramathibodi Handbook of Pediatric Diagnostic Tests”

✅ตำราคุณภาพจากภาควิชากุมารเวชศาสตร์ คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล
✅ขนาดพกพา รวม 79 บท กว่า 260 หน้า
✅ตีพิมพ์ต.ค. ปี 2563
——————————————
👶🏻[ชุด 4 เล่ม] ตำรากุมารเวชศาสตร์รพ.รามาธิบดี
1️⃣ Ramathibodi Handbook of PICU & NICU: 349.-
2️⃣ Ramathibodi Handbook of Pediatric Diagnostic Tests: 349.-
3️⃣ Ramathibodi Handbook of Pediatric Emergency: 499.-
4️⃣ Ramathibodi Handbook of Pediatric Endocrinology Case Approach: 500.-
🟡
สั่งซื้อผ่าน shopee: 
https://shp.ee/3j8phua
🟡
เหมาะสำหรับ: 
☑️นักศึกษาแพทย์และพยาบาลทุกท่าน
☑️Extern, Intern, Resident, GP, พยาบาล, แพทย์เฉพาะทางทุกท่าน
☑️กุมารแพทย์และผู้ที่สนใจโรคเด็กทุกคน
🟡
IG: thaimedicalbookshop
FB: Thai Medical Bookshop
Shopee: Thai Medical Bookshop
🟡
ร้าน Thai Medical Bookshop ร้านหนังสือตำราและอุปกรณ์ทางการแพทย์ สำหรับนิสิต-นักศึกษาแพทย์และพยาบาลผู้รักการเรียนรู้
🟡
ร้านเราให้ความเคารพคณาจารย์ทุกท่านที่ประสิทธิ์ประสาทวิชาความรู้และตั้งใจประพันธ์ตำราแพทย์ทุกเล่ม ทางร้านขอสนับสนุนหนังสือลิขสิทธิ์แท้เพื่อให้ประเทศไทยยังคงมีตำราดีๆผลิตออกมาสืบต่อไปค่ะ 🙏🏼
🟨
#ตำราแพทย์ #หนังสือแพทย์ #นิสิตแพทย์ #นักศึกษาแพทย์ #นักศึกษาพยาบาล #แพทย์ฝึกหัด #แพทย์ใช้ทุน #แพทย์ประจำบ้าน #หมอ #พยาบาล #แพทย์ #extern #แพทยศาสตร์ #คณะแพทยศาสตร์ #ร้านหนังสือ #ร้านหนังสือแพทย์ #หนังสือ #กุมารเวชศาสตร์ #หนังสือกุมารเวชศาสตร์ #pediatrics #กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ #ramathibodihandbook #ramathibodihandbookofpediatric #ramathibodhihandbookofpediatrics #คู่มือการใช้ยาในเด็ก #ยาในเด็ก #รามาธิบดี #โรงพยาบาลรามาธิบดี",Yes
"👶🏻[ชุด 4 เล่ม] ตำรากุมารเวชศาสตร์รพ.รามาธิบดี🍼
1️⃣ Ramathibodi Handbook of PICU&NICU: 349.-
2️⃣ Ramathibodi Handbook of Pediatric Diagnostic Tests: 349.-
3️⃣ Ramathibodi Handbook of Pediatric Emergency: 499.-
4️⃣ Ramathibodi Handbook of Pediatric Endocrinology Case Approach: 500.-
⚪️
✅ตำราคุณภาพจากภาควิชากุมารเวชศาสตร์ คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล
✅เนื้อหาใหม่ล่าสุดปี 2561, 2563, 2565
✅ขนาด pocket book พกพาสะดวก
⚪️
ราคาปก: 349, 349, 499, 500 บาท
ชุด 4 เล่ม: 1,697.-
หรือสั่งซื้อผ่าน shopee: 
https://shp.ee/4vcj9ka
⚪️
เหมาะสำหรับ: 
☑️นักศึกษาแพทย์และพยาบาลทุกท่าน
☑️Extern, Intern, Resident, GP, พยาบาล, แพทย์เฉพาะทางทุกท่าน
☑️กุมารแพทย์และผู้ที่สนใจโรคเด็กทุกคน
⚪️
IG: thaimedicalbookshop
FB: Thai Medical Bookshop
Shopee: Thai Medical Bookshop
⚪️
ร้าน Thai Medical Bookshop ร้านหนังสือตำราและอุปกรณ์ทางการแพทย์ สำหรับนิสิต-นักศึกษาแพทย์และพยาบาลผู้รักการเรียนรู้
⚪️
ร้านเราให้ความเคารพคณาจารย์ทุกท่านที่ประสิทธิ์ประสาทวิชาความรู้และตั้งใจประพันธ์ตำราแพทย์ทุกเล่ม ทางร้านขอสนับสนุนหนังสือลิขสิทธิ์แท้เพื่อให้ประเทศไทยยังคงมีตำราดีๆผลิตออกมาสืบต่อไปค่ะ 🙏🏼
⬜️
#ตำราแพทย์ #หนังสือแพทย์ #นิสิตแพทย์ #นักศึกษาแพทย์ #นักศึกษาพยาบาล #แพทย์ฝึกหัด #แพทย์ใช้ทุน #แพทย์ประจำบ้าน #หมอ #พยาบาล #แพทย์ #extern #แพทยศาสตร์ #คณะแพทยศาสตร์ #ร้านหนังสือ #ร้านหนังสือแพทย์ #หนังสือ #กุมารเวชศาสตร์ #หนังสือกุมารเวชศาสตร์ #pediatrics #กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ #ramathibodihandbook #ramathibodihandbookofpediatric #ramathibodhihandbookofpediatrics #คู่มือการใช้ยาในเด็ก #ยาในเด็ก #เภสัชศาสตร์ #รามาธิบดี #โรงพยาบาลรามาธิบดี",Yes. The message is talking about Ramathibodi.
"🍼หนังสือ “ Ramathibodi Handbook of Pediatric Endocrinology Case Approach”

✅ตำราคุณภาพจาก สาขาวิชาต่อมไร้ท่อและเมแทบอลิซึม ภาควิชากุมารเวชศาสตร์ คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล
✅Approach แบบ Case by Case เข้าใจง่าย
✅อัดแน่นกว่า 108 บท รวม 462 หน้า
✅ตีพิมพ์ส.ค. ปี 2565
🔵
ราคาปก: 500 บาท
หรือสั่งซื้อผ่าน shopee: 
https://shp.ee/m8bdyus
🔵
เหมาะสำหรับ: 
☑️นักศึกษาแพทย์และพยาบาลทุกท่าน
☑️Extern, Intern, Resident, GP, พยาบาล, แพทย์เฉพาะทางทุกท่าน
☑️กุมารแพทย์และผู้ที่สนใจโรคเด็กทุกคน
🔵
IG: thaimedicalbookshop
FB: Thai Medical Bookshop
Shopee: Thai Medical Bookshop
🔵
ร้าน Thai Medical Bookshop ร้านหนังสือตำราและอุปกรณ์ทางการแพทย์ สำหรับนิสิต-นักศึกษาแพทย์และพยาบาลผู้รักการเรียนรู้
🔵
ร้านเราให้ความเคารพคณาจารย์ทุกท่านที่ประสิทธิ์ประสาทวิชาความรู้และตั้งใจประพันธ์ตำราแพทย์ทุกเล่ม ทางร้านขอสนับสนุนหนังสือลิขสิทธิ์แท้เพื่อให้ประเทศไทยยังคงมีตำราดีๆผลิตออกมาสืบต่อไปค่ะ 🙏🏼
🟦
#ตำราแพทย์ #หนังสือแพทย์ #นิสิตแพทย์ #นักศึกษาแพทย์ #นักศึกษาพยาบาล #แพทย์ฝึกหัด #แพทย์ใช้ทุน #แพทย์ประจำบ้าน #หมอ #พยาบาล #แพทย์ #extern #แพทยศาสตร์ #คณะแพทยศาสตร์ #ร้านหนังสือ #ร้านหนังสือแพทย์ #หนังสือ #กุมารเวชศาสตร์ #หนังสือกุมารเวชศาสตร์ #pediatrics #กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ #ramathibodihandbook #ramathibodihandbookofpediatric #ramathibodhihandbookofpediatrics #รามาธิบดี #โรงพยาบาลรามาธิบดี #โรคต่อมไร้ท่อ #endocrinology #คู่มือการใช้ยาในเด็ก #ยาในเด็ก",Yes
"🍼หนังสือ “ Ramathibodi Handbook of Pediatric Endocrinology Case Approach”

✅ตำราคุณภาพจาก สาขาวิชาต่อมไร้ท่อและเมแทบอลิซึม ภาควิชากุมารเวชศาสตร์ คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล
✅Approach แบบ Case by Case เข้าใจง่าย
✅อัดแน่นกว่า 108 บท รวม 462 หน้า
✅ตีพิมพ์ส.ค. ปี 2565
🔵
ราคาปก: 500 บาท
หรือสั่งซื้อผ่าน shopee: 
https://shp.ee/m8bdyus
🔵
เหมาะสำหรับ: 
☑️นักศึกษาแพทย์และพยาบาลทุกท่าน
☑️Extern, Intern, Resident, GP, พยาบาล, แพทย์เฉพาะทางทุกท่าน
☑️กุมารแพทย์และผู้ที่สนใจโรคเด็กทุกคน
🔵
IG: thaimedicalbookshop
FB: Thai Medical Bookshop
Shopee: Thai Medical Bookshop
🔵
ร้าน Thai Medical Bookshop ร้านหนังสือตำราและอุปกรณ์ทางการแพทย์ สำหรับนิสิต-นักศึกษาแพทย์และพยาบาลผู้รักการเรียนรู้
🔵
ร้านเราให้ความเคารพคณาจารย์ทุกท่านที่ประสิทธิ์ประสาทวิชาความรู้และตั้งใจประพันธ์ตำราแพทย์ทุกเล่ม ทางร้านขอสนับสนุนหนังสือลิขสิทธิ์แท้เพื่อให้ประเทศไทยยังคงมีตำราดีๆผลิตออกมาสืบต่อไปค่ะ 🙏🏼
🟦
#ตำราแพทย์ #หนังสือแพทย์ #นิสิตแพทย์ #นักศึกษาแพทย์ #นักศึกษาพยาบาล #แพทย์ฝึกหัด #แพทย์ใช้ทุน #แพทย์ประจำบ้าน #หมอ #พยาบาล #แพทย์ #extern #แพทยศาสตร์ #คณะแพทยศาสตร์ #ร้านหนังสือ #ร้านหนังสือแพทย์ #หนังสือ #กุมารเวชศาสตร์ #หนังสือกุมารเวชศาสตร์ #pediatrics #กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ #ramathibodihandbook #ramathibodihandbookofpediatric #ramathibodhihandbookofpediatrics #รามาธิบดี #โรงพยาบาลรามาธิบดี #โรคต่อมไร้ท่อ #endocrinology #คู่มือการใช้ยาในเด็ก #ยาในเด็ก",Yes
"🍼หนังสือ “Ramathibodi Handbook of Pediatric Diagnostic Tests”

✅ตำราคุณภาพจากภาควิชากุมารเวชศาสตร์ คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล
✅ขนาดพกพา รวม 79 บท กว่า 260 หน้า
✅ตีพิมพ์ต.ค. ปี 2563
——————————————
👶🏻[ชุด 4 เล่ม] ตำรากุมารเวชศาสตร์รพ.รามาธิบดี
1️⃣ Ramathibodi Handbook of PICU & NICU: 349.-
2️⃣ Ramathibodi Handbook of Pediatric Diagnostic Tests: 349.-
3️⃣ Ramathibodi Handbook of Pediatric Emergency: 499.-
4️⃣ Ramathibodi Handbook of Pediatric Endocrinology Case Approach: 500.-
🟡
สั่งซื้อผ่าน shopee: 
https://shp.ee/3j8phua
🟡
เหมาะสำหรับ: 
☑️นักศึกษาแพทย์และพยาบาลทุกท่าน
☑️Extern, Intern, Resident, GP, พยาบาล, แพทย์เฉพาะทางทุกท่าน
☑️กุมารแพทย์และผู้ที่สนใจโรคเด็กทุกคน
🟡
IG: thaimedicalbookshop
FB: Thai Medical Bookshop
Shopee: Thai Medical Bookshop
🟡
ร้าน Thai Medical Bookshop ร้านหนังสือตำราและอุปกรณ์ทางการแพทย์ สำหรับนิสิต-นักศึกษาแพทย์และพยาบาลผู้รักการเรียนรู้
🟡
ร้านเราให้ความเคารพคณาจารย์ทุกท่านที่ประสิทธิ์ประสาทวิชาความรู้และตั้งใจประพันธ์ตำราแพทย์ทุกเล่ม ทางร้านขอสนับสนุนหนังสือลิขสิทธิ์แท้เพื่อให้ประเทศไทยยังคงมีตำราดีๆผลิตออกมาสืบต่อไปค่ะ 🙏🏼
🟨
#ตำราแพทย์ #หนังสือแพทย์ #นิสิตแพทย์ #นักศึกษาแพทย์ #นักศึกษาพยาบาล #แพทย์ฝึกหัด #แพทย์ใช้ทุน #แพทย์ประจำบ้าน #หมอ #พยาบาล #แพทย์ #extern #แพทยศาสตร์ #คณะแพทยศาสตร์ #ร้านหนังสือ #ร้านหนังสือแพทย์ #หนังสือ #กุมารเวชศาสตร์ #หนังสือกุมารเวชศาสตร์ #pediatrics #กุมารเวชศาสตร์สำหรับนักศึกษาแพทย์ #ramathibodihandbook #ramathibodihandbookofpediatric #ramathibodhihandbookofpediatrics #คู่มือการใช้ยาในเด็ก #ยาในเด็ก #รามาธิบดี #โรงพยาบาลรามาธิบดี",Yes
